Nombre: dlt, Puntuaciones: 2.5, 5, 5, Total: 12.5
Nombre: tanquecrack, Puntuaciones: 1.5, 1, 1.5, Total: 4.0
Nombre: juan, Puntuaciones: 2, 2, 1, Total: 5.0
Nombre: brea, Puntuaciones: 0, 2, 1.5, Total: 3.5
Nombre: sejuktc, Puntuaciones: 2.5, 1.5, 2, Total: 6.0
Nombre: azzar, Puntuaciones: 2, 1, 1.5, Total: 4.5
Nombre: equixs, Puntuaciones: 2, 2.5, 2, Total: 6.5
Nombre: mardan, Puntuaciones: 2, 3.5, 2.5, Total: 8.0
Nombre: klave, Puntuaciones: 2, 3.5, 1, Total: 6.5
Nombre: shoot, Puntuaciones: 2.5, 2, 2, Total: 6.5
Nombre: ronda, Puntuaciones: 1.5, 1.5, 5, Total: 8.0
Nombre: vaskula, Puntuaciones: 1.5, 2, 1, Total: 4.5
Nombre: kora, Puntuaciones: 2.5, 4, 3, Total: 9.5
Nombre: kmiba, Puntuaciones: 2.5, 3, 2.5, Total: 8.0
Nombre: nestea mc, Puntuaciones: 2.5, 1.5, 2.5, Total: 6.5
Nombre: jackal, Puntuaciones: 2, 2, 2.5, Total: 6.5
Nombre: reyzen, Puntuaciones: 1, 2, 1.5, Total: 4.5
Nombre: fondo, Puntuaciones: 1.5, 1.5, 2, Total: 5.0
Nombre: chito, Puntuaciones: 1, 1.5, 1, Total: 3.5
Nombre: pirri, Puntuaciones: 1, 1.5, 3, Total: 5.5
Nombre: taiel, Puntuaciones: 1.5, 1.5, 3, Total: 6.0
Nombre: astro, Puntuaciones: 1.5, 2, 2, Total: 5.5
Nombre: ampare, Puntuaciones: 1.5, 3, 4, Total: 8.5
Nombre: dager, Puntuaciones: 2.5, 3, 4, Total: 9.5
Nombre: samker, Puntuaciones: 3, 4.5, 4, Total: 11.5
Nombre: garzi, Puntuaciones: 2, 3, 2, Total: 7.0
Nombre: jonny, Puntuaciones: 2, 3, 2, Total: 7.0
Nombre: clore y tilo, Puntuaciones: 4.5, 5, 4.5, Total: 14.0
Nombre: pj, Puntuaciones: 3.5, 3, 3.5, Total: 10.0
Nombre: daltonico, Puntuaciones: 0.5, 1, 1, Total: 2.5
Nombre: suki, Puntuaciones: 2, 1.5, 1, Total: 4.5
Nombre: marchena, Puntuaciones: 1.5, 1, 2, Total: 4.5
Nombre: trece, Puntuaciones: 1.5, 1, 2, Total: 4.5
Nombre: kori, Puntuaciones: 2.5, 1.5, 3, Total: 7.0
Nombre: white, Puntuaciones: 1.5, 2.5, 2, Total: 6.0
Nombre: xaez, Puntuaciones: 1.5, 1, 2.5, Total: 5.0
