Nombre: Dlt, Puntuaciones: 42.0
Nombre: Ampare, Puntuaciones: 41.0
Nombre: Kori, Puntuaciones: 40.5
Nombre: Pj, Puntuaciones: 39.5
Nombre: Samker, Puntuaciones: 39.0
Nombre: Dager, Puntuaciones: 37.5
Nombre: Jonny, Puntuaciones: 35.0
Nombre: Shoot, Puntuaciones: 32.0
Nombre: Klave, Puntuaciones: 32.0
Nombre: Trece, Puntuaciones: 31.5
Nombre: Jackal, Puntuaciones: 29.5
Nombre: Juan, Puntuaciones: 27.5
Nombre: Kora, Puntuaciones: 27.5
Nombre: Astro, Puntuaciones: 26.0
Nombre: Pirri, Puntuaciones: 25.5
Nombre: Taiel, Puntuaciones: 25.0
Nombre: Mardan, Puntuaciones: 24.5
Nombre: Equixs, Puntuaciones: 24.5
Nombre: Fondo, Puntuaciones: 24.5
Nombre: Kmiba, Puntuaciones: 24.0
Nombre: White, Puntuaciones: 23.5
Nombre: Tanquecrack, Puntuaciones: 23.0
Nombre: Garzi, Puntuaciones: 22.5
Nombre: Suki, Puntuaciones: 20.5
Nombre: Ronda, Puntuaciones: 20.5
Nombre: Sejuktc, Puntuaciones: 20.5
Nombre: Xaez, Puntuaciones: 19.5
Nombre: Marchena, Puntuaciones: 14.5
Nombre: Reyzen, Puntuaciones: 14.5
Nombre: Azzar, Puntuaciones: 14.5
Nombre: Brea, Puntuaciones: 13.5
Nombre: Chito, Puntuaciones: 12.0
